,news_date,news_counter,news_topic,news_title,news_time
0,1999-01-01 00:00:00,1,Tech Center,"Bell Atlantic, AirTouch Move on Talk",8:37 PM ET
1,1999-01-01 00:00:00,2,Business and Finance - Europe,Russia Says IMF Planning Visit,3:49 PM ET
2,1999-01-01 00:00:00,3,Major Business News,U.S. Clears BP Purchase of Amoco,11:26 AM ET
3,1999-01-01 00:00:00,4,Indian Stocks,Shares End Little Changed,7:00 AM ET
4,1999-01-01 00:00:00,5,Mexican Stocks,Budget Fails to Boost Market,5:24 AM ET
5,1999-01-01 00:00:00,6,Canadian Stocks,Oil Shares Lead Gains,4:48 AM ET
6,1999-01-01 00:00:00,7,South African Stocks,Economic Data Hurts Shares,4:21 AM ET
7,1999-01-03 00:00:00,1,Special Report -- Year-End Review of Markets & Finance,PaineWebber: Mary Farrell,9:33 PM ET
8,1999-01-03 00:00:00,2,Special Report -- Year-End Review of Markets & Finance,Prudential Securities: Ralph Acampora,9:32 PM ET
9,1999-01-03 00:00:00,3,Special Report -- Year-End Review of Markets & Finance,"Tech Shares Soar, Despite Bumps",7:21 PM ET
10,1999-01-03 00:00:00,4,World-Wide,Snowstorm Hits the Midwest,1:32 AM ET
11,1999-01-04 00:00:00,1,Tech Center,Governor's Message,8:54 PM ET
12,1999-01-04 00:00:00,2,Brazilian Stocks,Global Gains Lift Market,7:17 PM ET
13,1999-01-04 00:00:00,3,Argentine Stocks,Market Rises in Light Trade,7:02 PM ET
14,1999-01-04 00:00:00,4,Canadian Stocks,"Oil, Metals Boost Market",6:19 PM ET
15,1999-01-04 00:00:00,5,Mexican Stocks,Stocks Stage Slow Start to 1999,6:18 PM ET
16,1999-01-04 00:00:00,6,Tech Center,Network Solutions Splits Stock,5:43 PM ET
17,1999-01-04 00:00:00,7,Commentary,The Dawn of the Euro,5:27 PM ET
18,1999-01-04 00:00:00,8,Major Business News,Ford CEO Plays Down Mergers,3:13 PM ET
19,1999-01-04 00:00:00,9,Italian Stocks,Euro Trade Lifts Market,2:48 PM ET
20,1999-01-04 00:00:00,10,Major Business News,PennCorp Agrees to Sell Two Units,2:43 PM ET
21,1999-01-04 00:00:00,11,Tech Center,Networkers' Profits Seen Strong,2:41 PM ET
22,1999-01-04 00:00:00,12,South African Stocks,Selling Pressure Hits Stocks,1:44 PM ET
23,1999-01-04 00:00:00,13,Spanish Stocks,Euro Trade Leads Advance,1:44 PM ET
24,1999-01-04 00:00:00,14,British Stocks,Shares Ignore U.S. Rally,1:36 PM ET
25,1999-01-04 00:00:00,15,French Stocks,Euro's Start Boosts Shares,1:35 PM ET
26,1999-01-04 00:00:00,16,German Stocks,Euro Euphoria Lifts Stocks,1:35 PM ET
27,1999-01-04 00:00:00,17,Dutch Stocks,Euro Trade Lifts Stocks,1:35 PM ET
28,1999-01-04 00:00:00,18,Swedish Stocks,Shares Rise on Euro Launch,1:35 PM ET
29,1999-01-04 00:00:00,19,Belgian Stocks,Euro Optimism Lifts Market,1:25 PM ET
30,1999-01-04 00:00:00,20,Swiss Stocks,Stable Euro Helps Stocks,1:25 PM ET
31,1999-01-04 00:00:00,21,Major Business News,Pennzoil-Quaker Merger Final,12:59 PM ET
32,1999-01-04 00:00:00,22,Business and Finance - Europe,GEC Eyes Stake in Traffic-Control Firm,11:58 AM ET
33,1999-01-04 00:00:00,23,Tech Center,Box Hill Systems to Miss Estimates,11:32 AM ET
34,1999-01-04 00:00:00,24,Economy,Storms Boost Jobless Claims,10:45 AM ET
35,1999-01-04 00:00:00,25,Indian Stocks,Fund Hopes Boost Market,8:01 AM ET
36,1999-01-04 00:00:00,26,Thai Stocks,Traders Await Euro Impact,6:45 AM ET
37,1999-01-04 00:00:00,27,Singaporean Stocks,Rate Cut Bolsters Market,5:42 AM ET
38,1999-01-04 00:00:00,28,Malaysian Stocks,Shares Drop on Reform Woes,5:41 AM ET
39,1999-01-04 00:00:00,29,Indonesian Stocks,Shares Fall Ahead of Budget,5:40 AM ET
40,1999-01-04 00:00:00,30,Hong Kong Stocks,Hang Seng Tumbles 2.4%,5:39 AM ET
41,1999-01-04 00:00:00,31,Chinese Stocks,Stocks Continue Slide,4:37 AM ET
42,1999-01-04 00:00:00,32,Media & Marketing,Audio Book Club Unveils Deal,3:20 AM ET
43,1999-01-04 00:00:00,33,Australian Stocks,Industrial Shares Lift Index,2:16 AM ET
44,1999-01-04 00:00:00,34,Philippine Stocks,Shares End Trading Mixed,1:27 AM ET
45,1999-01-04 00:00:00,35,South Korean Stocks,Recovery Hopes Fuel Climb,1:26 AM ET
46,1999-01-04 00:00:00,36,Health,Kaiser to Hike Rates for Drug Benefits,1:03 AM ET
47,1999-01-04 00:00:00,37,Who's News,Professor Tops Economic Forecasters,1:02 AM ET
48,1999-01-04 00:00:00,38,Law,DuPont to Pay Unusual Settlement,12:55 AM ET
49,1999-01-04 00:00:00,39,Legal Beat,Gun Industry Faces Lawsuits,12:54 AM ET
50,1999-01-04 00:00:00,40,Business and Finance - Europe,"ICI Sale to DuPont, NL Industries Fails",12:49 AM ET
51,1999-01-04 00:00:00,41,Corrections & Amplifications,Corrections & Amplifications,12:45 AM ET
52,1999-01-04 00:00:00,42,Politics & Policy,Manhattan Tops IRS-Led Probes,12:41 AM ET
53,1999-01-04 00:00:00,43,Health,Gene-Therapy Advance Is Made,12:02 AM ET
54,1999-01-04 00:00:00,44,World-Wide,U.S. Vows Rise in Defense Spending,12:02 AM ET
55,1999-01-04 00:00:00,45,Special Report -- Year-End Review of Markets & Finance,Goldman Sachs: Abby Joseph Cohen,12:01 AM ET
56,1999-01-04 00:00:00,46,Special Report -- Year-End Review of Markets & Finance,Emerging Market Label Hurts Austria,12:01 AM ET
57,1999-01-04 00:00:00,47,Special Report -- Year-End Review of Markets & Finance,Global Trends Drive British Shares,12:01 AM ET
58,1999-01-04 00:00:00,48,Special Report -- Year-End Review of Markets & Finance,Tech Stocks Lead Rally in Finland,12:01 AM ET
59,1999-01-04 00:00:00,49,Special Report -- Year-End Review of Markets & Finance,Small Stocks Leave Denmark Flat,12:01 AM ET
60,1999-01-04 00:00:00,50,Special Report -- Year-End Review of Markets & Finance,Market Turmoil Whips France,12:01 AM ET
61,1999-01-04 00:00:00,51,Special Report -- Year-End Review of Markets & Finance,Stocks Endure Unnerving Swings,12:01 AM ET
62,1999-01-04 00:00:00,52,Special Report -- Year-End Review of Markets & Finance,Volatility Pares Dublin's Gains,12:01 AM ET
63,1999-01-04 00:00:00,53,Special Report -- Year-End Review of Markets & Finance,Flight From Bonds Lifts Equities,12:01 AM ET
64,1999-01-04 00:00:00,54,Special Report -- Year-End Review of Markets & Finance,BVL-30 Index Finishes Up 26.8%,12:01 AM ET
65,1999-01-04 00:00:00,55,Special Report -- Year-End Review of Markets & Finance,Steep Slide Follows Early Surge,12:01 AM ET
66,1999-01-04 00:00:00,56,Special Report -- Year-End Review of Markets & Finance,Index Rises 10.2% After Rocky Year,12:01 AM ET
67,1999-01-04 00:00:00,57,Special Report -- Year-End Review of Markets & Finance,Extreme Volatility Will Continue,12:01 AM ET
68,1999-01-04 00:00:00,58,Special Report -- Year-End Review of Markets & Finance,Stocks End Volatile Year with Slim Gain,12:01 AM ET
69,1999-01-04 00:00:00,59,Business and Finance - Asia,Newbridge Takes Control of Korea First,12:01 AM ET
70,1999-01-04 00:00:00,60,Law,Waste Management Nears Deal,12:01 AM ET
71,1999-01-04 00:00:00,61,Special Report -- Year-End Review of Markets & Finance,Funds Brace for Turbulent Year,12:01 AM ET
72,1999-01-04 00:00:00,62,Special Report -- Year-End Review of Markets & Finance,Advent of Euro Will Recast Bonds,12:01 AM ET
73,1999-01-04 00:00:00,63,Special Report -- Year-End Review of Markets & Finance,All Signs Point to a Slowdown,12:01 AM ET
74,1999-01-04 00:00:00,64,International Commentary,A Bad Start to a New Year,12:01 AM ET
75,1999-01-04 00:00:00,65,Commentary,The Challenge of a Single Currency,12:01 AM ET
76,1999-01-04 00:00:00,66,Special Report -- Year-End Review of Markets & Finance,Outlook Isn't Encouraging in 1999,12:01 AM ET
77,1999-01-04 00:00:00,67,Special Report -- Year-End Review of Markets & Finance,France Feels Effects of Slowdown,12:01 AM ET
78,1999-01-04 00:00:00,68,Special Report -- Year-End Review of Markets & Finance,Effects of Market Turmoil Linger,12:01 AM ET
