,news_date,news_counter,news_topic,news_title,news_time
0,1998-01-01 00:00:00,1,Market Closed for Holiday,Market Closed for Holiday,5:15 PM ET
1,1998-01-01 00:00:00,2,Market Remains Closed,Market Remains Closed,5:14 PM ET
2,1998-01-01 00:00:00,3,Markets Are Closed for Holiday,Markets Are Closed for Holiday,5:14 PM ET
3,1998-01-01 00:00:00,4,Market Remains Closed,Market Remains Closed,5:11 PM ET
4,1998-01-02 00:00:00,1,"NFL, Players Work on TV Deal","NFL, Players Work on TV Deal",8:59 PM ET
5,1998-01-02 00:00:00,2,Korea Payout May Be Delayed,Korea Payout May Be Delayed,8:11 PM ET
6,1998-01-02 00:00:00,3,Economists Seek Case to Halt Euro,Economists Seek Case to Halt Euro,5:27 PM ET
7,1998-01-02 00:00:00,4,France's Car Sales Shrink 18%,France's Car Sales Shrink 18%,5:27 PM ET
8,1998-01-02 00:00:00,5,Shares Slip in Quiet Trading,Shares Slip in Quiet Trading,5:26 PM ET
9,1998-01-02 00:00:00,6,Economic Data Bolster Munis,Economic Data Bolster Munis,5:24 PM ET
10,1998-01-02 00:00:00,7,Suits Against Salomon Settle,Suits Against Salomon Settle,5:23 PM ET
11,1998-01-02 00:00:00,8,Dollar Hits High Against the Yen,Dollar Hits High Against the Yen,5:14 PM ET
12,1998-01-02 00:00:00,9,Shares Rise in Thin Trading,Shares Rise in Thin Trading,5:13 PM ET
13,1998-01-02 00:00:00,10,Shares Rise in Thin Volumes,Shares Rise in Thin Volumes,5:13 PM ET
14,1998-01-02 00:00:00,11,The Perils of Pundits,The Perils of Pundits,3:38 PM ET
15,1998-01-02 00:00:00,12,Optimism Causes Stocks to Soar,Optimism Causes Stocks to Soar,3:03 PM ET
16,1998-01-02 00:00:00,13,The Rise of New Help Lines,The Rise of New Help Lines,2:40 PM ET
17,1998-01-02 00:00:00,14,Stocks Gain in Light Trading,Stocks Gain in Light Trading,2:18 PM ET
18,1998-01-02 00:00:00,15,Global Gains Lift Stocks,Global Gains Lift Stocks,1:27 PM ET
19,1998-01-02 00:00:00,16,Global Gains Support Market,Global Gains Support Market,1:26 PM ET
20,1998-01-02 00:00:00,17,Telecom Shares Lift Market,Telecom Shares Lift Market,12:58 PM ET
21,1998-01-02 00:00:00,18,Salim Freezes Restructuring Plan,Salim Freezes Restructuring Plan,12:35 PM ET
22,1998-01-02 00:00:00,19,Indexes Hit Record Highs,Indexes Hit Record Highs,12:34 PM ET
23,1998-01-02 00:00:00,20,Rupiah Falls on S&P Downgrade,Rupiah Falls on S&P Downgrade,12:34 PM ET
24,1998-01-02 00:00:00,21,Shares Rise in Thin Trading,Shares Rise in Thin Trading,12:15 PM ET
25,1998-01-02 00:00:00,22,Futures Trading Buoys Stocks,Futures Trading Buoys Stocks,12:11 PM ET
26,1998-01-02 00:00:00,23,Investors Put Gains Into Market,Investors Put Gains Into Market,12:10 PM ET
27,1998-01-02 00:00:00,24,A Year of Pitching Dangerously,A Year of Pitching Dangerously,9:11 AM ET
28,1998-01-02 00:00:00,25,Markets Are Closed,Markets Are Closed,8:38 AM ET
29,1998-01-02 00:00:00,26,Markets Are Closed,Markets Are Closed,7:31 AM ET
30,1998-01-02 00:00:00,27,Shares Are Mostly Lower,Shares Are Mostly Lower,6:41 AM ET
31,1998-01-02 00:00:00,28,Main Index Drops 3.78%,Main Index Drops 3.78%,6:40 AM ET
32,1998-01-02 00:00:00,29,Telecom Shares Lead Gains,Telecom Shares Lead Gains,6:37 AM ET
33,1998-01-02 00:00:00,30,Shares Prices Are Lower,Shares Prices Are Lower,6:35 AM ET
34,1998-01-02 00:00:00,31,Share Prices Finish Lower,Share Prices Finish Lower,3:53 AM ET
35,1998-01-02 00:00:00,32,Munis Could Provide a Refuge,Munis Could Provide a Refuge,1:45 AM ET
36,1998-01-02 00:00:00,33,Merger Climate Is Near Perfect,Merger Climate Is Near Perfect,1:39 AM ET
37,1998-01-02 00:00:00,34,Bonds Will Be at Mercy of Monetary Union,Bonds Will Be at Mercy of Monetary Union,1:38 AM ET
38,1998-01-02 00:00:00,35,Rough Ride for Tech Start-Ups,Rough Ride for Tech Start-Ups,1:37 AM ET
39,1998-01-02 00:00:00,36,Europe Gears Up for the Euro,Europe Gears Up for the Euro,1:37 AM ET
40,1998-01-02 00:00:00,37,Share Prices Finish Mixed,Share Prices Finish Mixed,1:21 AM ET
41,1998-01-02 00:00:00,38,"Americas Battered, Not Broken","Americas Battered, Not Broken",1:04 AM ET
42,1998-01-02 00:00:00,39,Size Rules Money Management,Size Rules Money Management,1:02 AM ET
43,1998-01-02 00:00:00,40,Asian Flu Weakens New Issues,Asian Flu Weakens New Issues,1:02 AM ET
44,1998-01-02 00:00:00,41,"Follies, Foibles & Fumbles","Follies, Foibles & Fumbles",1:00 AM ET
45,1998-01-02 00:00:00,42,Gold and Oil Headed Lower,Gold and Oil Headed Lower,1:00 AM ET
46,1998-01-02 00:00:00,43,Bankers Divided Over Korea,Bankers Divided Over Korea,12:14 AM ET
47,1998-01-02 00:00:00,44,Traders Target Eastern Europe,Traders Target Eastern Europe,12:11 AM ET
48,1998-01-02 00:00:00,45,Underwriting Fees Declined 10%,Underwriting Fees Declined 10%,12:10 AM ET
49,1998-01-02 00:00:00,46,Private-Placement Profits Jump,Private-Placement Profits Jump,12:09 AM ET
50,1998-01-02 00:00:00,47,Big Bid Enlivens Art Market,Big Bid Enlivens Art Market,12:08 AM ET
51,1998-01-02 00:00:00,48,Money Fund Yields Inch Up,Money Fund Yields Inch Up,12:07 AM ET
52,1998-01-02 00:00:00,49,Bonds Surge as Inflation Fades,Bonds Surge as Inflation Fades,12:06 AM ET
53,1998-01-02 00:00:00,50,Crude Oil,Crude Oil,12:05 AM ET
54,1998-01-02 00:00:00,51,IPO Market Shows Its Muscle,IPO Market Shows Its Muscle,12:04 AM ET
55,1998-01-02 00:00:00,52,Natural Gas,Natural Gas,12:03 AM ET
56,1998-01-02 00:00:00,53,Grains,Grains,12:03 AM ET
57,1998-01-02 00:00:00,54,Precious Metals,Precious Metals,12:02 AM ET
58,1998-01-02 00:00:00,55,Tropical Commodities,Tropical Commodities,12:02 AM ET
59,1998-01-02 00:00:00,56,Funds See Another Banner Year,Funds See Another Banner Year,12:01 AM ET
60,1998-01-02 00:00:00,57,Merger Mania Led by Financials,Merger Mania Led by Financials,12:01 AM ET
61,1998-01-02 00:00:00,58,BELGIUM,BELGIUM,12:01 AM ET
62,1998-01-02 00:00:00,59,U.K.,U.K.,12:01 AM ET
63,1998-01-02 00:00:00,60,FRANCE,FRANCE,12:01 AM ET
64,1998-01-02 00:00:00,61,GERMANY,GERMANY,12:01 AM ET
65,1998-01-02 00:00:00,62,ITALY,ITALY,12:01 AM ET
66,1998-01-02 00:00:00,63,NETHERLANDS,NETHERLANDS,12:01 AM ET
67,1998-01-02 00:00:00,64,SPAIN,SPAIN,12:01 AM ET
68,1998-01-02 00:00:00,65,SWEDEN,SWEDEN,12:01 AM ET
69,1998-01-02 00:00:00,66,SWITZERLAND,SWITZERLAND,12:01 AM ET
70,1998-01-02 00:00:00,67,SOUTH AFRICA,SOUTH AFRICA,12:01 AM ET
71,1998-01-02 00:00:00,68,JAPAN,JAPAN,12:01 AM ET
72,1998-01-02 00:00:00,69,SOUTH KOREA,SOUTH KOREA,12:01 AM ET
73,1998-01-02 00:00:00,70,TAIWAN,TAIWAN,12:01 AM ET
74,1998-01-02 00:00:00,71,HONG KONG,HONG KONG,12:01 AM ET
75,1998-01-02 00:00:00,72,CHINA,CHINA,12:01 AM ET
76,1998-01-02 00:00:00,73,THE PHILIPPINES,THE PHILIPPINES,12:01 AM ET
77,1998-01-02 00:00:00,74,THAILAND,THAILAND,12:01 AM ET
78,1998-01-02 00:00:00,75,MALAYSIA,MALAYSIA,12:01 AM ET
79,1998-01-02 00:00:00,76,SINGAPORE,SINGAPORE,12:01 AM ET
80,1998-01-02 00:00:00,77,INDONESIA,INDONESIA,12:01 AM ET
81,1998-01-02 00:00:00,78,AUSTRALIA,AUSTRALIA,12:01 AM ET
82,1998-01-02 00:00:00,79,NEW ZEALAND,NEW ZEALAND,12:01 AM ET
83,1998-01-02 00:00:00,80,INDIA,INDIA,12:01 AM ET
84,1998-01-02 00:00:00,81,Private Equity Will Fuel Growth,Private Equity Will Fuel Growth,12:01 AM ET
85,1998-01-02 00:00:00,82,Currencies Face Rough New Year,Currencies Face Rough New Year,12:01 AM ET
86,1998-01-02 00:00:00,83,HeadlineText,HeadlineText,12:01 AM ET
87,1998-01-02 00:00:00,84,Soaring Dollar May Be Grounded,Soaring Dollar May Be Grounded,12:01 AM ET
88,1998-01-02 00:00:00,85,Tech Sector Falls Back to Earth,Tech Sector Falls Back to Earth,12:01 AM ET
89,1998-01-02 00:00:00,86,China Takes the Bulls by the Horn,China Takes the Bulls by the Horn,12:01 AM ET
90,1998-01-02 00:00:00,87,Leading Indicators Index Rises,Leading Indicators Index Rises,12:01 AM ET
91,1998-01-02 00:00:00,88,Paragon Will Appeal Ruling,Paragon Will Appeal Ruling,12:01 AM ET
92,1998-01-02 00:00:00,89,"MIT, Quaker Oats Settle Suit","MIT, Quaker Oats Settle Suit",12:01 AM ET
93,1998-01-02 00:00:00,90,Microsoft to Buy Hotmail,Microsoft to Buy Hotmail,12:01 AM ET
94,1998-01-02 00:00:00,91,Tobacco Makers Are Sued Again,Tobacco Makers Are Sued Again,12:01 AM ET
95,1998-01-02 00:00:00,92,Barnett Deal Cheers Rivals,Barnett Deal Cheers Rivals,12:01 AM ET
96,1998-01-02 00:00:00,93,SummaryHeadline,SummaryHeadline,12:01 AM ET
97,1998-01-02 00:00:00,94,Masterpieces From the Mainland,Masterpieces From the Mainland,12:01 AM ET
98,1998-01-02 00:00:00,95,Renaissance for Italian Jewish Heritage,Renaissance for Italian Jewish Heritage,12:01 AM ET
99,1998-01-02 00:00:00,96,Klein,Klein,12:01 AM ET
100,1998-01-02 00:00:00,97,PORTUGAL,PORTUGAL,12:01 AM ET
101,1998-01-02 00:00:00,98,DENMARK,DENMARK,12:01 AM ET
102,1998-01-02 00:00:00,99,FINLAND,FINLAND,12:01 AM ET
103,1998-01-02 00:00:00,100,IRELAND,IRELAND,12:01 AM ET
104,1998-01-02 00:00:00,101,AUSTRIA,AUSTRIA,12:01 AM ET
105,1998-01-02 00:00:00,102,U.S. to Appeal Telecom Ruling,U.S. to Appeal Telecom Ruling,12:01 AM ET
106,1998-01-02 00:00:00,103,Bulk E-mailers Threaten AOL,Bulk E-mailers Threaten AOL,12:01 AM ET
107,1998-01-02 00:00:00,104,CompUSA Sales Rise 22%,CompUSA Sales Rise 22%,12:01 AM ET
108,1998-01-02 00:00:00,105,Central Bank Shakes Up BMB,Central Bank Shakes Up BMB,12:01 AM ET
109,1998-01-02 00:00:00,106,Singapore's Armor Wears Thin,Singapore's Armor Wears Thin,12:01 AM ET
110,1998-01-02 00:00:00,107,Indonesia Starts Bank Reform,Indonesia Starts Bank Reform,12:01 AM ET
111,1998-01-02 00:00:00,108,Fall in Singapore Dollar Forecast,Fall in Singapore Dollar Forecast,12:01 AM ET
112,1998-01-02 00:00:00,109,Thailand Posts Budget Deficit,Thailand Posts Budget Deficit,12:01 AM ET
113,1998-01-02 00:00:00,110,John Templeton Bets on Korea,John Templeton Bets on Korea,12:01 AM ET
114,1998-01-02 00:00:00,111,Fears of Japan's Banks Ease,Fears of Japan's Banks Ease,12:01 AM ET
115,1998-01-02 00:00:00,112,Zurich Closes Scudder Deal,Zurich Closes Scudder Deal,12:01 AM ET
116,1998-01-02 00:00:00,113,Turkey to Sell Stake in Tekel,Turkey to Sell Stake in Tekel,12:01 AM ET
117,1998-01-02 00:00:00,114,Ladbroke Buys Coral From Bass,Ladbroke Buys Coral From Bass,12:01 AM ET
118,1998-01-02 00:00:00,115,Hercules Extends Allied Bid,Hercules Extends Allied Bid,12:01 AM ET
119,1998-01-02 00:00:00,116,Turkey-EU Deal Will Remain,Turkey-EU Deal Will Remain,12:01 AM ET
120,1998-01-02 00:00:00,117,Pepper . . . and Salt,Pepper . . . and Salt,12:01 AM ET
121,1998-01-02 00:00:00,118,U.S. Firm Gets MOL Contract,U.S. Firm Gets MOL Contract,12:01 AM ET
122,1998-01-02 00:00:00,119,Tax Hike May Hurt Oil Firms,Tax Hike May Hurt Oil Firms,12:01 AM ET
123,1998-01-02 00:00:00,120,Utility Deals Cut Consumer Bills,Utility Deals Cut Consumer Bills,12:01 AM ET
124,1998-01-02 00:00:00,121,Corrections & Amplifications,Corrections & Amplifications,12:01 AM ET
125,1998-01-02 00:00:00,122,Super Bowl Is up for Grabs,Super Bowl Is up for Grabs,12:01 AM ET
126,1998-01-02 00:00:00,123,NASD Plan Sparks Criticism,NASD Plan Sparks Criticism,12:01 AM ET
127,1998-01-02 00:00:00,124,State Snuffs Out Bar Smoke,State Snuffs Out Bar Smoke,12:01 AM ET
128,1998-01-02 00:00:00,125,IRS to Probe Disclosure of Pact,IRS to Probe Disclosure of Pact,12:01 AM ET
129,1998-01-02 00:00:00,126,Washington Wire,Washington Wire,12:01 AM ET
130,1998-01-02 00:00:00,127,Markets Are Closed,Markets Are Closed,12:01 AM ET
131,1998-01-02 00:00:00,128,Markets Are Closed,Markets Are Closed,12:01 AM ET
132,1998-01-02 00:00:00,129,Markets Are Closed,Markets Are Closed,12:01 AM ET
133,1998-01-02 00:00:00,130,Markets Are Closed,Markets Are Closed,12:01 AM ET
134,1998-01-02 00:00:00,131,Peasants Flee After Massacre,Peasants Flee After Massacre,12:01 AM ET
135,1998-01-02 00:00:00,132,Base Metals,Base Metals,12:01 AM ET
136,1998-01-02 00:00:00,133,Deal With Congo Falls Through,Deal With Congo Falls Through,12:01 AM ET
137,1998-01-02 00:00:00,134,Yardeni Wins Forecast Survey,Yardeni Wins Forecast Survey,12:01 AM ET
138,1998-01-03 00:00:00,1,Speech by Alan Greenspan,Speech by Alan Greenspan,3:25 PM ET
139,1998-01-03 00:00:00,2,China's Yuan May Fall Sharply,China's Yuan May Fall Sharply,1:33 PM ET
140,1998-01-03 00:00:00,3,South Korea to Sell Two Banks,South Korea to Sell Two Banks,10:01 AM ET
141,1998-01-03 00:00:00,4,Bank Shares Lead Declines,Bank Shares Lead Declines,2:32 AM ET
142,1998-01-03 00:00:00,5,Rewind,Rewind,12:01 AM ET
143,1998-01-03 00:00:00,6,Rewind,Rewind,12:01 AM ET
144,1998-01-03 00:00:00,7,International Recap,International Recap,12:01 AM ET
145,1998-01-03 00:00:00,8,Stock Market Moves Higher,Stock Market Moves Higher,12:01 AM ET
